attendance,homework_avg,midterm_band,forum_posts,pass
high,A,A,few,yes
high,A,A,none,yes
high,A,C,many,yes
high,A,D,many,yes
high,A,D,few,no
high,A,D,none,no
high,B,A,few,yes
high,B,A,none,yes
high,B,B,some,yes
high,B,D,many,yes
high,B,D,few,no
high,C,A,some,yes
high,C,A,few,yes
high,C,B,many,yes
high,C,C,many,no
high,C,C,some,no
high,C,C,few,no
high,C,D,none,no
high,D,B,some,no
high,D,B,none,no
high,D,C,few,no
high,D,C,none,no
high,D,D,many,no
high,D,D,few,no
mid,A,A,some,yes
mid,A,A,none,yes
mid,A,B,none,yes
mid,A,C,some,yes
mid,A,C,few,no
mid,A,D,some,no
mid,B,A,some,yes
mid,B,A,few,yes
mid,B,C,many,yes
mid,B,C,some,no
mid,B,C,few,no
mid,B,D,none,no
mid,C,A,many,yes
mid,C,A,some,yes
mid,C,B,few,no
mid,C,D,many,no
mid,C,D,few,no
mid,D,A,none,no
mid,D,B,some,no
mid,D,C,many,no
mid,D,C,none,no
mid,D,D,some,no
mid,D,D,few,no
mid,D,D,none,no
low,A,A,many,yes
low,A,A,none,no
low,A,C,some,no
low,A,C,none,no
low,A,D,some,no
low,A,D,few,no
low,B,A,some,yes
low,B,B,few,no
low,B,C,many,no
low,B,D,none,no
low,C,A,some,no
low,C,A,few,no
low,C,B,some,no
low,C,B,few,no
low,C,C,some,no
low,C,C,few,no
low,D,A,many,no
low,D,A,few,no
low,D,A,none,no
low,D,C,some,no
low,D,D,some,no
low,D,D,few,no
