sepal_length_band,sepal_width_band,petal_length_band,petal_width_band,variety
low,high,low,low,setosa
low,mid,low,low,setosa
low,mid,low,low,setosa
low,mid,low,low,setosa
low,high,low,low,setosa
low,high,low,low,setosa
low,high,low,low,setosa
low,high,low,low,setosa
low,low,low,low,setosa
low,mid,low,low,setosa
low,high,low,low,setosa
low,high,low,low,setosa
low,mid,low,low,setosa
low,mid,low,low,setosa
mid,high,low,low,setosa
mid,high,low,low,setosa
low,high,low,low,setosa
low,high,low,low,setosa
mid,high,low,low,setosa
low,high,low,low,setosa
low,high,low,low,setosa
low,high,low,low,setosa
low,high,low,low,setosa
low,high,low,low,setosa
low,high,low,low,setosa
low,mid,low,low,setosa
low,high,low,low,setosa
low,high,low,low,setosa
low,high,low,low,setosa
low,mid,low,low,setosa
low,mid,low,low,setosa
low,high,low,low,setosa
low,high,low,low,setosa
mid,high,low,low,setosa
low,mid,low,low,setosa
low,mid,low,low,setosa
mid,high,low,low,setosa
low,mid,low,low,setosa
low,mid,low,low,setosa
low,high,low,low,setosa
low,high,low,low,setosa
low,low,low,low,setosa
low,mid,low,low,setosa
low,high,low,low,setosa
low,high,low,low,setosa
low,mid,low,low,setosa
low,high,low,low,setosa
low,mid,low,low,setosa
low,high,low,low,setosa
low,high,low,low,setosa
high,mid,mid,mid,versicolor
high,mid,mid,mid,versicolor
high,mid,mid,mid,versicolor
mid,low,mid,mid,versicolor
high,low,mid,mid,versicolor
mid,low,mid,mid,versicolor
mid,high,mid,mid,versicolor
low,low,mid,low,versicolor
high,low,mid,mid,versicolor
low,low,mid,mid,versicolor
low,low,mid,low,versicolor
mid,mid,mid,mid,versicolor
mid,low,mid,low,versicolor
mid,low,mid,mid,versicolor
mid,low,mid,mid,versicolor
high,mid,mid,mid,versicolor
mid,mid,mid,mid,versicolor
mid,low,mid,low,versicolor
mid,low,mid,mid,versicolor
mid,low,mid,mid,versicolor
mid,mid,mid,high,versicolor
mid,low,mid,mid,versicolor
mid,low,mid,mid,versicolor
mid,low,mid,mid,versicolor
high,low,mid,mid,versicolor
high,mid,mid,mid,versicolor
high,low,mid,mid,versicolor
high,mid,high,high,versicolor
mid,low,mid,mid,versicolor
mid,low,mid,low,versicolor
mid,low,mid,mid,versicolor
mid,low,mid,low,versicolor
mid,low,mid,mid,versicolor
mid,low,high,mid,versicolor
low,mid,mid,mid,versicolor
mid,high,mid,mid,versicolor
high,mid,mid,mid,versicolor
mid,low,mid,mid,versicolor
mid,mid,mid,mid,versicolor
mid,low,mid,mid,versicolor
mid,low,mid,mid,versicolor
mid,mid,mid,mid,versicolor
mid,low,mid,mid,versicolor
low,low,mid,low,versicolor
mid,low,mid,mid,versicolor
mid,mid,mid,mid,versicolor
mid,low,mid,mid,versicolor
mid,low,mid,mid,versicolor
low,low,low,mid,versicolor
mid,low,mid,mid,versicolor
mid,high,high,high,virginica
mid,low,high,high,virginica
high,mid,high,high,virginica
mid,low,high,high,virginica
high,mid,high,high,virginica
high,mid,high,high,virginica
low,low,mid,high,virginica
high,low,high,high,virginica
high,low,high,high,virginica
high,high,high,high,virginica
high,mid,high,high,virginica
high,low,high,high,virginica
high,mid,high,high,virginica
mid,low,high,high,virginica
mid,low,high,high,virginica
high,mid,high,high,virginica
high,mid,high,high,virginica
high,high,high,high,virginica
high,low,high,high,virginica
mid,low,high,mid,virginica
high,mid,high,high,virginica
mid,low,mid,high,virginica
high,low,high,high,virginica
mid,low,mid,high,virginica
high,high,high,high,virginica
high,mid,high,high,virginica
mid,low,mid,high,virginica
mid,mid,mid,high,virginica
high,low,high,high,virginica
high,mid,high,mid,virginica
high,low,high,high,virginica
high,high,high,high,virginica
high,low,high,high,virginica
mid,low,high,mid,virginica
mid,low,high,mid,virginica
high,mid,high,high,virginica
mid,high,high,high,virginica
high,mid,high,high,virginica
mid,mid,mid,high,virginica
high,mid,high,high,virginica
high,mid,high,high,virginica
high,mid,high,high,virginica
mid,low,high,high,virginica
high,mid,high,high,virginica
high,high,high,high,virginica
high,mid,high,high,virginica
mid,low,high,high,virginica
high,mid,high,high,virginica
mid,high,high,high,virginica
mid,mid,high,high,virginica
