id,text,score
h1,"Photosynthesis converts light energy into chemical energy in chloroplasts using chlorophyll.",5
h2,"Plants make food from sun light in leaves.",4
h3,"Photosynthesis is when plants eat sunlight.",3
h4,"I think plants breathe air and grow.",2
h5,"Don't know.",1
h6,"Chlorophyll absorbs photons; CO2 and water become glucose and oxygen.",5
h7,"Light reaction and Calvin cycle produce sugar from carbon dioxide.",5
h8,"Sun helps plants make sugar somehow.",3
h9,"Leaves are green so photosynthesis happens.",2
h10,"Water plus carbon dioxide plus light yields glucose plus oxygen via chlorophyll.",5
h11,"Plants do photosynthesis in the mitochondria.",2
h12,"The process stores energy in ATP and NADPH then fixes carbon.",4
h13,"Photosynthesis equals respiration but reverse.",3
h14,"Green pigment catches light; stomata take CO2; roots take water.",4
h15,"Because the teacher said plants need sun.",1
h16,"Detailed: light-dependent reactions split water; dark reactions fix CO2 into G3P.",5
h17,"Sunlight is important for plants.",2
h18,"Chloroplasts contain thylakoids where light reactions occur.",4
h19,"Maybe they use soil nutrients instead of light.",1
h20,"Correct equation: 6CO2 + 6H2O + light → C6H12O6 + 6O2.",5
