product_area,urgency_keywords,account_tier,error_code_present,prior_escalation,refund_mentioned,route
api,yes,pro,yes,no,yes,trust_safety
account,no,pro,no,no,no,L1_general
api,yes,pro,yes,yes,no,engineering
content,no,pro,yes,no,no,engineering
api,no,free,no,yes,yes,billing
general,yes,free,yes,no,yes,billing
billing,yes,enterprise,no,yes,yes,billing
general,no,free,no,no,no,L1_general
content,no,enterprise,no,yes,yes,billing
api,no,free,yes,yes,yes,billing
billing,no,free,yes,yes,no,engineering
api,yes,enterprise,yes,no,yes,billing
account,no,pro,yes,yes,no,engineering
general,yes,enterprise,yes,no,yes,billing
general,yes,free,no,yes,yes,billing
account,no,pro,no,no,no,L1_general
api,no,pro,yes,no,no,trust_safety
api,yes,free,no,yes,yes,billing
account,yes,free,no,yes,yes,billing
content,no,pro,yes,no,no,engineering
account,no,pro,yes,yes,yes,billing
account,yes,free,yes,no,no,engineering
account,no,free,no,yes,no,L1_general
general,no,free,no,yes,no,L1_general
content,no,pro,yes,yes,yes,billing
content,no,enterprise,yes,no,no,engineering
billing,yes,pro,no,yes,no,billing
account,no,enterprise,no,yes,no,engineering
api,no,enterprise,no,no,yes,billing
content,no,pro,no,yes,yes,billing
account,yes,pro,no,yes,no,L1_general
general,no,free,yes,yes,no,engineering
general,yes,pro,no,no,yes,L1_general
billing,yes,free,yes,no,yes,billing
billing,yes,free,yes,no,yes,billing
content,no,free,no,no,yes,billing
account,no,free,yes,no,yes,billing
billing,yes,enterprise,no,yes,yes,billing
billing,yes,enterprise,no,no,yes,billing
account,yes,enterprise,yes,no,yes,billing
content,yes,enterprise,yes,yes,no,engineering
content,yes,enterprise,yes,no,no,engineering
content,yes,enterprise,yes,no,yes,billing
account,no,enterprise,no,yes,yes,billing
account,yes,free,no,yes,no,L1_general
content,yes,free,no,no,no,trust_safety
general,yes,pro,no,yes,no,L1_general
api,yes,free,yes,yes,yes,billing
general,no,pro,yes,yes,yes,billing
account,yes,enterprise,no,yes,yes,billing
account,no,free,no,yes,no,L1_general
account,no,pro,yes,yes,no,engineering
content,no,pro,yes,yes,no,engineering
content,yes,free,no,no,no,trust_safety
content,yes,pro,no,yes,yes,billing
account,no,enterprise,yes,no,yes,billing
billing,no,free,no,yes,yes,billing
account,yes,free,yes,yes,yes,billing
general,no,pro,no,no,no,L1_general
account,yes,enterprise,yes,no,no,engineering
billing,no,enterprise,yes,no,no,engineering
account,yes,enterprise,yes,yes,yes,billing
general,yes,free,yes,yes,no,engineering
billing,no,free,no,no,yes,billing
general,no,pro,yes,no,yes,billing
general,no,enterprise,yes,no,yes,billing
billing,yes,pro,yes,no,yes,billing
api,no,pro,no,yes,yes,billing
billing,yes,pro,no,yes,no,billing
billing,yes,pro,yes,no,yes,billing
api,yes,enterprise,yes,yes,no,engineering
content,no,free,yes,no,yes,billing
api,no,enterprise,no,no,yes,billing
account,yes,free,no,no,yes,billing
api,yes,pro,no,no,no,engineering
api,yes,enterprise,yes,no,yes,billing
api,no,free,yes,no,yes,billing
billing,no,pro,no,no,yes,billing
content,no,pro,no,yes,yes,billing
general,no,pro,no,no,yes,billing
general,yes,free,yes,no,yes,billing
general,no,pro,no,no,no,L1_general
general,yes,free,yes,yes,no,engineering
account,yes,free,no,no,no,L1_general
content,no,enterprise,no,yes,no,engineering
account,no,free,yes,no,yes,billing
account,no,pro,yes,no,yes,billing
content,yes,free,no,no,yes,billing
general,no,enterprise,yes,yes,yes,billing
general,no,enterprise,no,no,no,L1_general
account,no,pro,no,no,yes,billing
account,yes,free,no,no,no,L1_general
content,yes,free,yes,no,no,engineering
billing,yes,pro,no,yes,no,billing
billing,no,enterprise,no,no,no,billing
account,no,enterprise,yes,no,yes,billing
account,no,free,yes,no,yes,billing
content,no,enterprise,no,yes,no,engineering
api,yes,pro,no,yes,yes,billing
account,no,pro,no,no,yes,billing
content,no,free,no,yes,no,L1_general
account,no,enterprise,yes,no,no,engineering
api,no,free,yes,yes,yes,billing
billing,yes,free,yes,yes,yes,billing
general,yes,enterprise,no,yes,yes,billing
general,yes,pro,yes,no,yes,billing
billing,yes,enterprise,yes,yes,no,engineering
content,no,enterprise,no,no,yes,billing
account,yes,enterprise,yes,yes,yes,billing
account,no,enterprise,yes,yes,yes,billing
content,yes,free,yes,yes,no,L1_general
general,yes,enterprise,no,yes,yes,billing
api,yes,enterprise,yes,no,no,engineering
content,no,pro,no,no,yes,billing
content,yes,free,yes,yes,yes,billing
content,yes,pro,no,no,no,trust_safety
billing,no,pro,yes,no,no,engineering
account,no,free,yes,no,yes,billing
billing,no,pro,yes,yes,no,engineering
content,yes,pro,no,no,yes,billing
