id,text,kw_call,kw_now,kw_free,kw_text,kw_txt,kw_mobile,kw_new,kw_min,kw_reply,kw_send,kw_stop,kw_www,label
s1,That depends. How would you like to be treated? :),no,no,no,no,no,no,no,no,no,no,no,no,ham
s2,How much r ü willing to pay?,no,no,no,no,no,no,no,no,no,no,no,no,ham
s3,You are being ripped off! Get your mobile content from www.clubmoby.com call 08717509990 poly/true/Pix/Ringtones/Games six downloads for only 3,yes,no,no,no,no,yes,no,no,no,no,no,yes,spam
s4,Anything lor but toa payoh got place 2 walk meh...,no,no,no,no,no,no,no,no,no,no,no,no,ham
s5,Oh unintentionally not bad timing. Great. Fingers  the trains play along! Will give fifteen min warning.,no,no,no,no,no,no,no,yes,no,no,no,no,ham
s6,1st wk FREE! Gr8 tones str8 2 u each wk. Txt NOKIA ON to 8007 for Classic Nokia tones or HIT ON to 8007 for Polys. Nokia/150p Poly/200p 16+,no,no,yes,no,yes,no,no,no,no,no,no,no,spam
s7,I hate when she does this. She turns what should be a fun shopping trip into an annoying day of how everything would look in her house.,no,no,no,no,no,no,no,no,no,no,no,no,ham
s8,"It's ok, at least armand's still around",no,no,no,no,no,no,no,no,no,no,no,no,ham
s9,Call FREEPHONE 0800 542 0578 now!,yes,yes,no,no,no,no,no,no,no,no,no,no,spam
s10,CLAIRE here am havin borin time & am now alone U wanna cum over 2nite? Chat now 09099725823 hope 2 C U Luv CLAIRE xx Calls£1/minmoremobsEMSPOBox45PO139WA,no,yes,no,no,no,no,no,no,no,no,no,no,spam
s11,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,no,no,no,no,no,no,no,no,no,no,no,no,ham
s12,URGENT! Your Mobile number has been awarded with a £2000 prize GUARANTEED. Call 09061790121 from land line. Claim 3030. Valid 12hrs only 150ppm,yes,no,no,no,no,yes,no,no,no,no,no,no,spam
s13,"Thanks for your Ringtone Order, Reference T91. You will be charged GBP 4 per week. You can unsubscribe at anytime by calling customer services on 09057039994",no,no,no,no,no,no,no,no,no,no,no,no,spam
s14,SMS AUCTION - A BRAND NEW Nokia 7250 is up 4 auction today! Auction is FREE 2 join & take part! Txt NOKIA to 86021 now!,no,yes,yes,no,yes,no,yes,no,no,no,no,no,spam
s15,Dunno he jus say go lido. Same time 930.,no,no,no,no,no,no,no,no,no,no,no,no,ham
s16,Guess what! Somebody you know secretly fancies you! Wanna find out who it is? Give us a call on 09065394514 From Landline DATEBox1282EssexCM61XN 150p/min 18,yes,no,no,no,no,no,no,yes,no,no,no,no,spam
s17,"URGENT!: Your Mobile No. was awarded a £2,000 Bonus Caller Prize on 02/09/03! This is our 2nd attempt to contact YOU! Call 0871-872-9755 BOX95QU",yes,no,no,no,no,yes,no,no,no,no,no,no,spam
s18,GENT! We are trying to contact you. Last weekends draw shows that you won a £1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,yes,no,no,no,no,no,no,no,no,no,no,no,spam
s19,2p per min to call Germany 08448350055 from your BT line. Just 2p per min. Check PlanetTalkInstant.com for info & T's & C's. Text stop to opt out,yes,no,no,yes,no,no,no,yes,no,no,yes,no,spam
s20,-PLS STOP bootydelious (32/F) is inviting you to be her friend. Reply YES-434 or NO-434 See her: www.SMS.ac/u/bootydelious STOP? Send STOP FRND to 62468,no,no,no,no,no,no,no,no,yes,yes,yes,yes,spam
s21,Got it! It looks scrumptious... daddy wants to eat you all night long!,no,no,no,no,no,no,no,no,no,no,no,no,ham
s22,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,no,no,no,no,no,no,no,no,no,no,no,no,ham
s23,I was at bugis juz now wat... But now i'm walking home oredi... Ü so late then reply... I oso saw a top dat i like but din buy... Where r ü now?,no,yes,no,no,no,no,no,no,yes,no,no,no,ham
s24,I am joining today formally.Pls keep praying.will talk later.,no,no,no,no,no,no,no,no,no,no,no,no,ham
s25,I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.,no,no,no,no,no,no,yes,no,no,no,no,no,ham
s26,"FREE MESSAGE Activate your 500 FREE Text Messages by replying to this message with the word FREE For terms & conditions, visit www.07781482378.com",no,no,yes,yes,no,no,no,no,no,no,no,yes,spam
s27,"You are being contacted by our Dating Service by someone you know! To find out who it is, call from your mobile or landline 09064017305 PoBox75LDNS7",yes,no,no,no,no,yes,no,no,no,no,no,no,spam
s28,Am only searching for good dual sim mobile pa.,no,no,no,no,no,yes,no,no,no,no,no,no,ham
s29,Collect your VALENTINE'S weekend to PARIS inc Flight & Hotel + £200 Prize guaranteed! Text: PARIS to No: 69101. www.rtf.sphosting.com,no,no,no,yes,no,no,no,no,no,no,no,yes,spam
s30,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",no,no,no,no,yes,no,no,no,yes,yes,no,no,spam
s31,important information 4 orange user 0789xxxxxxx. today is your lucky day!2find out why log onto http://www.urawinner.com THERE'S A FANTASTIC SURPRISE AWAITING YOU!,no,no,no,no,no,no,no,no,no,no,no,yes,spam
s32,No i am not having not any movies in my laptop,no,no,no,no,no,no,no,no,no,no,no,no,ham
s33,What time is ur flight tmr?,no,no,no,no,no,no,no,no,no,no,no,no,ham
s34,Enjoy the jamster videosound gold club with your credits for 2 new videosounds+2 logos+musicnews! get more fun from jamster.co.uk! 16+only Help? call: 09701213186,yes,no,no,no,no,no,yes,no,no,no,no,no,spam
s35,Free msg: Single? Find a partner in your area! 1000s of real people are waiting to chat now!Send CHAT to 62220Cncl send STOPCS 08717890890£1.50 per msg,no,yes,yes,no,no,no,no,no,no,yes,no,no,spam
s36,Do you want 750 anytime any network mins 150 text and a NEW VIDEO phone for only five pounds per week call 08002888812 or reply for delivery tomorrow,yes,no,no,yes,no,no,yes,no,yes,no,no,no,spam
s37,Sleeping nt feeling well,no,no,no,no,no,no,no,no,no,no,no,no,ham
s38,Anything lar...,no,no,no,no,no,no,no,no,no,no,no,no,ham
s39,Free tones Hope you enjoyed your new content. text stop to 61610 to unsubscribe. help:08712400602450p Provided by tones2you.co.uk,no,no,yes,yes,no,no,yes,no,no,no,yes,no,spam
s40,Lmao but its so fun...,no,no,no,no,no,no,no,no,no,no,no,no,ham
s41,"Best msg: It's hard to be with a person, when u know that one more step foward will make u fall in love.. &amp; One step back can ruin ur friendship.. good night:-) ...",no,no,no,no,no,no,no,no,no,no,no,no,ham
s42,These won't do. Have to move on to morphine,no,no,no,no,no,no,no,no,no,no,no,no,ham
s43,EASTENDERS TV Quiz. What FLOWER does DOT compare herself to? D= VIOLET E= TULIP F= LILY txt D E or F to 84025 NOW 4 chance 2 WIN £100 Cash WKENT/150P16+,no,yes,no,no,yes,no,no,no,no,no,no,no,spam
s44,"Hottest pics straight to your phone!! See me getting Wet and Wanting, just for you xx Text PICS to 89555 now! txt costs 150p textoperator g696ga 18 XxX",no,yes,no,yes,yes,no,no,no,no,no,no,no,spam
s45,We tried to contact you re your reply to our offer of a Video Phone 750 anytime any network mins Half Price Line Rental Camcorder Reply or call 08000930705,yes,no,no,no,no,no,no,no,yes,no,no,no,spam
s46,"I'm in a meeting, call me later at",yes,no,no,no,no,no,no,no,no,no,no,no,ham
s47,Left dessert. U wan me 2 go suntec look 4 u?,no,no,no,no,no,no,no,no,no,no,no,no,ham
s48,"Bears Pic Nick, and Tom, Pete and ... Dick. In fact, all types try gay chat with photo upload call 08718730666 (10p/min). 2 stop texts call 08712460324",yes,no,no,no,no,no,no,yes,no,no,yes,no,spam
s49,This pen thing is beyond a joke. Wont a Biro do? Don't do a masters as can't do this ever again!,no,no,no,no,no,no,no,no,no,no,no,no,ham
s50,"Hey sexy buns ! Have I told you ? I adore you, loverboy. I hope you remember to thank your sister in law for those meatballs *grins* ... i love you, babe",no,no,no,no,no,no,no,no,no,no,no,no,ham
s51,Gr8. So how do you handle the victoria island traffic. Plus when's the album due,no,no,no,no,no,no,no,no,no,no,no,no,ham
s52,I HAVE A DATE ON SUNDAY WITH WILL!!,no,no,no,no,no,no,no,no,no,no,no,no,ham
s53,"Haha awesome, I've been to 4u a couple times. Who all's coming?",no,no,no,no,no,no,no,no,no,no,no,no,ham
s54,hows my favourite person today? r u workin hard? couldn't sleep again last nite nearly rang u at 4.30,no,no,no,no,no,no,no,no,no,no,no,no,ham
s55,Hi. I'm always online on yahoo and would like to chat with you someday,no,no,no,no,no,no,no,no,no,no,no,no,ham
s56,The bus leaves at  &lt;#&gt;,no,no,no,no,no,no,no,no,no,no,no,no,ham
s57,We took hooch for a walk toaday and i fell over! Splat! Grazed my knees and everything! Should have stayed at home! See you tomorrow!,no,no,no,no,no,no,no,no,no,no,no,no,ham
s58,"Spook up your mob with a Halloween collection of a logo & pic message plus a free eerie tone, txt CARD SPOOK to 8007 zed 08701417012150p per logo/pic",no,no,yes,no,yes,no,no,no,no,no,no,no,spam
s59,"Double mins and txts 4 6months FREE Bluetooth on Orange. Available on Sony, Nokia Motorola phones. Call MobileUpd8 on 08000839402 or call2optout/N9DX",yes,no,yes,no,no,no,no,no,no,no,no,no,spam
